Ticker,FullCode,Symbol,Signal,Probability,Start,End
282690,KR7282690007,동아타이어,hold,0.0,,
001520,KR7001520006,동양,hold,0.0,,
001527,KR7001522002,동양2우B,hold,0.0,,
084670,KR7084670009,동양고속,hold,0.0,,
082640,KR7082640004,동양생명,hold,0.0,,
001525,KR7001521004,동양우,hold,0.0,,
008970,KR7008970006,동양철관,hold,0.0,,
092780,KR7092780006,동양피스톤,hold,0.0,,
049770,KR7049770001,동원F&B,hold,0.0,,
018500,KR7018500009,동원금속,hold,0.0,,
006040,KR7006040000,동원산업,hold,0.0,,
030720,KR7030720007,동원수산,buy,0.886,2022-11-18,2022-11-28
014820,KR7014820005,동원시스템즈,buy,0.737,2022-11-18,2022-11-28
014825,KR7014821003,동원시스템즈우,hold,0.0,,
163560,KR7163560006,동일고무벨트,hold,0.0,,
004890,KR7004890000,동일산업,hold,0.0,,
002690,KR7002690006,동일제강,hold,0.0,,
000020,KR7000020008,동화약품,buy,0.82,2022-11-18,2022-11-28
000150,KR7000150003,두산,hold,0.0,,
000157,KR7000152009,두산2우B,hold,0.0,,
241560,KR7241560002,두산밥캣,hold,0.0,,
034020,KR7034020008,두산에너빌리티,hold,0.0,,
000155,KR7000151001,두산우,hold,0.0,,
336260,KR7336260005,두산퓨얼셀,buy,0.914,2022-11-18,2022-11-28
33626K,KR733626K013,두산퓨얼셀1우,buy,0.881,2022-11-16,2022-11-28
33626L,KR733626K021,두산퓨얼셀2우B,hold,0.0,,
016740,KR7016740003,두올,hold,0.0,,
192650,KR7192650000,드림텍,hold,0.0,,
024090,KR7024090003,디씨엠,hold,0.0,,
003160,KR7003160009,디아이,hold,0.0,,
092200,KR7092200005,디아이씨,sell,0.794,2022-11-22,2022-11-28
377190,KR7377190004,디앤디플랫폼리츠,hold,0.0,,
013570,KR7013570007,디와이,hold,0.0,,
210540,KR7210540001,디와이파워,hold,0.0,,
115390,KR7115390007,락앤락,hold,0.0,,
032350,KR7032350001,롯데관광개발,buy,0.846,2022-11-17,2022-11-28
089860,KR7089860001,롯데렌탈,buy,0.895,2022-11-16,2022-11-28
330590,KR7330590001,롯데리츠,hold,0.0,,
000400,KR7000400002,롯데손해보험,hold,0.0,,
023530,KR7023530009,롯데쇼핑,hold,0.0,,
004000,KR7004000006,롯데정밀화학,hold,0.0,,
286940,KR7286940002,롯데정보통신,hold,0.0,,
280360,KR7280360009,롯데제과,hold,0.0,,
004990,KR7004990008,롯데지주,hold,0.0,,
00499K,KR700499K014,롯데지주우,hold,0.0,,
005300,KR7005300009,롯데칠성,hold,0.0,,
005305,KR7005301007,롯데칠성우,hold,0.0,,
011170,KR7011170008,롯데케미칼,hold,0.0,,
071840,KR7071840003,롯데하이마트,buy,0.916,2022-11-18,2022-11-28
027740,KR7027740000,마니커,buy,0.849,2022-11-23,2022-11-28
001080,KR7001080001,만호제강,hold,0.0,,
088980,KR7088980008,맥쿼리인프라,hold,0.0,,
094800,KR7094800000,맵스리얼티1,hold,0.0,,
138040,KR7138040001,메리츠금융지주,hold,0.0,,
008560,KR7008560005,메리츠증권,hold,0.0,,
000060,KR7000060004,메리츠화재,hold,0.0,,
017180,KR7017180001,명문제약,hold,0.0,,
009900,KR7009900002,명신산업,hold,0.0,,
012690,KR7012690004,모나리자,hold,0.0,,
005360,KR7005360003,모나미,hold,0.0,,
204210,KR7204210009,모두투어리츠,sell,0.692,2022-11-18,2022-11-28
009680,KR7009680000,모토닉,hold,0.0,,
009580,KR7009580002,무림P&P,buy,0.811,2022-11-23,2022-11-28
009200,KR7009200007,무림페이퍼,hold,0.0,,
033920,KR7033920000,무학,hold,0.0,,
008420,KR7008420002,문배철강,hold,0.0,,
025560,KR7025560004,미래산업,hold,0.0,,
007120,KR7007120009,미래아이앤지,hold,0.0,,
357250,KR7357250000,미래에셋맵스리츠,hold,0.0,,
085620,KR7085620003,미래에셋생명,hold,0.0,,
006800,KR7006800007,미래에셋증권,hold,0.0,,
00680K,KR700680K019,미래에셋증권2우B,hold,0.0,,
006805,KR7006801005,미래에셋증권우,hold,0.0,,
002840,KR7002840007,미원상사,hold,0.0,,
268280,KR7268280005,미원에스씨,hold,0.0,,
107590,KR7107590002,미원홀딩스,hold,0.0,,
134380,KR7134380005,미원화학,hold,0.0,,
003650,KR7003650009,미창석유,buy,0.896,2022-11-21,2022-11-28
155900,KR7155900004,바다로19호,hold,0.0,,
003610,KR7003610003,방림,sell,0.709,2022-11-23,2022-11-28
001340,KR7001340009,백광산업,hold,0.0,,
035150,KR7035150002,백산,buy,0.843,2022-11-24,2022-11-28
002410,KR7002410009,범양건영,hold,0.0,,
096300,KR7096300009,베트남개발1,buy,0.677,2022-11-21,2022-11-28
007210,KR7007210008,벽산,hold,0.0,,
002760,KR7002760007,보락,hold,0.0,,
003850,KR7003850005,보령,buy,0.938,2022-11-18,2022-11-28
000890,KR7000890004,보해양조,sell,0.716,2022-11-17,2022-11-28
003000,KR7003000007,부광약품,hold,0.0,,
001270,KR7001270008,부국증권,hold,0.0,,
001275,KR7001271006,부국증권우,hold,0.0,,
026940,KR7026940007,부국철강,sell,0.604,2022-11-22,2022-11-28
011390,KR7011390002,부산산업,hold,0.0,,
005030,KR7005030002,부산주공,hold,0.0,,
002070,KR7002070001,비비안,hold,0.0,,
100220,KR7100220003,비상교육,hold,0.0,,
005180,KR7005180005,빙그레,buy,0.941,2022-11-18,2022-11-28
003960,KR7003960002,사조대림,buy,0.896,2022-11-17,2022-11-28
008040,KR7008040008,사조동아원,buy,0.869,2022-11-16,2022-11-28
007160,KR7007160005,사조산업,buy,0.927,2022-11-18,2022-11-28
014710,KR7014710008,사조씨푸드,buy,0.843,2022-11-15,2022-11-28
006090,KR7006090005,사조오양,hold,0.0,,
001470,KR7001470004,삼부토건,sell,0.73,2022-11-18,2022-11-28
006400,KR7006400006,삼성SDI,hold,0.0,,
006405,KR7006401004,삼성SDI우,hold,0.0,,
006660,KR7006660005,삼성공조,buy,0.888,2022-11-18,2022-11-28
028260,KR7028260008,삼성물산,buy,0.878,2022-11-16,2022-11-28
02826K,KR702826K016,삼성물산우B,hold,0.0,,
207940,KR7207940008,삼성바이오로직스,hold,0.0,,
032830,KR7032830002,삼성생명,sell,0.851,2022-11-23,2022-11-28
018260,KR7018260000,삼성에스디에스,buy,0.667,2022-11-23,2022-11-28
028050,KR7028050003,삼성엔지니어링,buy,0.682,2022-11-23,2022-11-28
009150,KR7009150004,삼성전기,buy,0.831,2022-11-21,2022-11-28
009155,KR7009151002,삼성전기우,buy,0.843,2022-11-17,2022-11-28
005930,KR7005930003,삼성전자,buy,0.842,2022-11-16,2022-11-28
005935,KR7005931001,삼성전자우,buy,0.857,2022-11-18,2022-11-28
001360,KR7001360007,삼성제약,buy,0.895,2022-11-17,2022-11-28
010140,KR7010140002,삼성중공업,hold,0.0,,
